,,Totals,Household Income in 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"$1 to $2,499
or loss",No Income,"$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$52,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and
over"
Totals,Totals,"126,224","1,460","1,730",948,"1,316","2,562","3,304","2,819","3,205","2,633","3,433","2,814","3,457","2,480","3,673","2,241","3,493","2,239","3,270","2,215","2,965","2,125","3,183","1,934","2,507","1,783","2,720","1,693","2,233","1,580","2,252","1,531","2,287","1,380","2,133","1,233","1,689","1,133","1,770","1,218","1,497","1,118","34,969"
,Origin,"109,308","1,284","1,456",814,"1,066","2,193","2,771","2,419","2,662","2,194","2,873","2,380","2,887","2,160","2,972","1,941","2,909","1,868","2,630","1,848","2,494","1,816","2,711","1,687","2,125","1,524","2,324","1,474","1,918","1,373","1,905","1,342","1,945","1,223","1,839","1,066","1,430",987,"1,559","1,079","1,327",984,"31,848"
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,"16,915",176,274,134,251,369,533,399,543,439,560,434,570,320,701,301,583,371,640,367,471,309,471,248,383,258,396,220,315,206,346,188,342,157,294,167,259,146,211,139,169,133,"3,120"
Race,,"99,400",995,"1,095",570,894,"1,650","2,312","2,067","2,429","1,943","2,519","2,155","2,670","1,933","2,797","1,730","2,735","1,754","2,493","1,835","2,382","1,643","2,495","1,600","1,973","1,442","2,129","1,391","1,774","1,254","1,737","1,279","1,836","1,123","1,748","1,025","1,382",918,"1,381","1,015","1,245",946,"29,104"
White alone,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Origin,"84,387",839,839,457,671,"1,335","1,835","1,714","1,961","1,567","2,009","1,783","2,155","1,644","2,184","1,463","2,226","1,423","1,930","1,505","1,959","1,372","2,077","1,378","1,630","1,239","1,769","1,198","1,480","1,075","1,438","1,104","1,535",976,"1,489",868,"1,155",785,"1,201",886,"1,090",824,"26,318"
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,"15,013",157,255,113,223,314,477,353,469,375,511,372,515,289,613,267,510,331,563,330,423,271,418,222,343,203,360,194,294,179,300,176,301,146,259,157,227,133,181,129,155,122,"2,786"
Black or African American alone,Totals,"16,733",328,458,281,327,731,751,566,584,493,654,470,563,402,618,360,508,342,556,237,406,322,420,213,332,206,388,195,278,224,287,151,251,162,197,119,158,135,214,109,144,99,"2,495"
,Origin,"15,928",318,450,270,312,696,723,552,543,463,633,449,541,378,585,345,474,319,523,228,380,302,398,208,316,180,367,187,267,209,271,145,234,158,186,117,150,133,206,102,140,93,"2,377"
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,805,10,9,11,15,35,28,14,40,30,21,21,22,25,32,15,33,23,33,9,25,20,22,5,16,27,21,8,11,15,17,6,16,5,11,3,8,2,8,7,4,6,118
American Indian and Alaska Native alone,Totals,"1,314",24,46,18,18,40,46,51,30,50,38,40,41,25,61,21,44,24,59,22,29,28,49,19,35,13,29,10,15,9,27,13,15,12,23,8,15,12,14,15,10,8,209
,Origin,879,18,42,17,11,34,35,34,22,25,34,27,33,19,32,6,29,16,33,17,13,17,28,13,20,9,23,5,12,6,14,11,12,11,13,3,10,7,10,12,2,4,139
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,435,6,4,1,7,6,12,17,8,24,4,13,8,6,29,15,15,8,27,5,15,10,21,6,15,4,6,5,3,3,13,1,3,1,10,5,4,4,4,3,8,3,70
Asian alone,Totals,"6,392",83,99,53,44,86,132,78,87,88,143,95,107,83,132,77,132,73,95,73,86,92,155,72,107,72,123,54,119,58,158,59,138,63,129,58,103,51,131,58,77,48,"2,618"
,Origin,"6,247",83,99,46,43,86,129,78,81,84,140,87,103,83,125,75,131,71,90,72,82,92,150,68,107,71,120,53,118,54,155,56,137,63,121,57,100,49,125,58,76,48,"2,582"
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,145,.,.,8,1,.,3,.,7,4,3,8,4,.,7,3,1,3,6,1,3,.,5,4,.,1,3,1,2,4,3,2,1,.,8,1,3,3,6,.,1,.,37
Native Hawaiian and Other Pacific Islander alone,Totals,370,5,9,6,5,5,12,4,11,7,11,5,15,3,5,12,8,9,8,2,9,5,5,4,12,3,11,4,14,6,6,5,7,6,6,1,1,3,9,2,2,2,105
,Origin,305,5,6,5,5,4,6,3,8,2,9,5,12,3,3,12,4,7,5,1,8,5,5,1,12,3,10,4,14,6,5,4,4,6,6,1,0,1,6,2,2,2,92
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,65,.,3,1,.,1,6,1,3,5,2,.,3,.,1,.,3,2,3,2,1,.,.,3,0,.,1,0,.,.,1,1,3,.,.,.,1,1,3,.,.,.,14
Two or more races,Totals,"2,015",24,23,19,27,49,51,53,64,52,67,48,61,34,60,42,67,37,59,45,55,35,59,27,48,47,39,39,33,29,36,24,40,13,29,23,30,14,21,19,19,15,437
,Origin,"1,562",21,19,19,23,37,43,38,47,52,48,29,42,34,42,41,46,33,49,25,52,28,52,18,39,23,34,27,28,23,23,21,22,9,23,21,14,12,11,19,17,13,341
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,452,3,4,1,4,12,8,15,17,1,19,19,18,.,18,1,21,3,10,20,3,7,7,8,9,24,5,12,5,5,13,3,18,4,6,2,16,2,9,.,2,2,96